occurrenceID,eventID,sex,lifeStage,scientificName,kingdom,phylum,class,order,family,genus
PSZMP-OCC-010322KSBP01D0815-181598-CALANUS-COPEPODITES_C5-I,PSZMP-SMP-010322KSBP01D0815,indeterminate,copepodites C5 plus adults,Calanus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01D1323-181607-CALANUS-COPEPODITES_C5-I,PSZMP-SMP-010422LSNT01D1323,indeterminate,copepodites C5 plus adults,Calanus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193058-ACARTIA_LONGIREMIS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Acartia longiremis,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
PSZMP-OCC-010422LSNT01V1305-193056-AETIDEUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010422LSNT01V1305-193061-AETIDEUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010422LSNT01V1305-193055-AETIDEUS-COPEPODITES-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010422LSNT01V1305-193076-CALANUS_MARSHALLAE-COPEPODITES_C5-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites C5,Calanus marshallae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193077-CALANUS_PACIFICUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193087-CALANUS_PACIFICUS-COPEPODITES_C1-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites C1,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193075-CALANUS_PACIFICUS-COPEPODITES_C5-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites C5,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193063-DITRICHOCORYCAEUS_ANGLICUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010422LSNT01V1305-193062-DITRICHOCORYCAEUS_ANGLICUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010422LSNT01V1305-193065-DITRICHOCORYCAEUS_ANGLICUS-COPEPODITES-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010422LSNT01V1305-193066-HEMICYCLOPS-INDETERMINATE-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,indeterminate,Hemicyclops,Animalia,Arthropoda,Copepoda,Cyclopoida,Clausidiidae,Hemicyclops
PSZMP-OCC-010422LSNT01V1305-193086-METRIDIA_PACIFICA-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Metridia pacifica,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia
PSZMP-OCC-010422LSNT01V1305-193060-METRIDIA_PACIFICA-COPEPODITES_C5-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites C5,Metridia pacifica,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia
PSZMP-OCC-010422LSNT01V1305-193046-MICROCALANUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010422LSNT01V1305-193053-MICROCALANUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010422LSNT01V1305-193049-MICROCALANUS-COPEPODITES-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010422LSNT01V1305-193084-OITHONA_ATLANTICA-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Oithona atlantica,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
PSZMP-OCC-010422LSNT01V1305-193064-OITHONA_SIMILIS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Oithona similis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
PSZMP-OCC-010422LSNT01V1305-193057-PARACALANUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
PSZMP-OCC-010422LSNT01V1305-193051-PARACALANUS-COPEPODITES-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
PSZMP-OCC-010422LSNT01V1305-193050-PSEUDOCALANUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Pseudocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010422LSNT01V1305-193048-PSEUDOCALANUS-COPEPODITES-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites,Pseudocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010422LSNT01V1305-193078-PSEUDOCALANUS_MIMUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Pseudocalanus mimus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010422LSNT01V1305-193047-PSEUDOCALANUS_MOULTONI-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Pseudocalanus moultoni,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010422LSNT01V1305-193054-PSEUDOCALANUS_NEWMANI-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Pseudocalanus newmani,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010422LSNT01V1305-193052-TORTANUS_DISCAUDATUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Tortanus discaudatus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus
PSZMP-OCC-010422LSNT01V1305-193059-TORTANUS_DISCAUDATUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Tortanus discaudatus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus
PSZMP-OCC-010422NSEX01V1049-193103-ACARTIA_LONGIREMIS-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Acartia longiremis,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
PSZMP-OCC-010422NSEX01V1049-193101-AETIDEUS-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010422NSEX01V1049-193100-AETIDEUS-ADULT-M,PSZMP-SMP-010422NSEX01V1049,male,adult,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010422NSEX01V1049-193099-AETIDEUS-COPEPODITES-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010422NSEX01V1049-193124-CALANUS_MARSHALLAE-COPEPODITES_C5-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites C5,Calanus marshallae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422NSEX01V1049-193121-CALANUS_PACIFICUS-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422NSEX01V1049-193122-CALANUS_PACIFICUS-ADULT-M,PSZMP-SMP-010422NSEX01V1049,male,adult,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422NSEX01V1049-193133-CALANUS_PACIFICUS-COPEPODITES_C1-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites C1,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422NSEX01V1049-193123-CALANUS_PACIFICUS-COPEPODITES_C5-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites C5,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422NSEX01V1049-193127-DITRICHOCORYCAEUS_ANGLICUS-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010422NSEX01V1049-193110-DITRICHOCORYCAEUS_ANGLICUS-ADULT-M,PSZMP-SMP-010422NSEX01V1049,male,adult,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010422NSEX01V1049-193109-DITRICHOCORYCAEUS_ANGLICUS-COPEPODITES-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010422NSEX01V1049-193126-EUCALANUS_BUNGII-COPEPODITES_C5-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites C5,Eucalanus bungii,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus
PSZMP-OCC-010422NSEX01V1049-193136-HEMICYCLOPS-INDETERMINATE-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,indeterminate,Hemicyclops,Animalia,Arthropoda,Copepoda,Cyclopoida,Clausidiidae,Hemicyclops
PSZMP-OCC-010422NSEX01V1049-193137-METRIDIA_PACIFICA-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Metridia pacifica,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia
PSZMP-OCC-010422NSEX01V1049-193138-METRIDIA_PACIFICA-ADULT-M,PSZMP-SMP-010422NSEX01V1049,male,adult,Metridia pacifica,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia
PSZMP-OCC-010422NSEX01V1049-193096-MICROCALANUS-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010422NSEX01V1049-193098-MICROCALANUS-ADULT-M,PSZMP-SMP-010422NSEX01V1049,male,adult,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010422NSEX01V1049-193097-MICROCALANUS-COPEPODITES-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010422NSEX01V1049-193108-OITHONA_SIMILIS-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Oithona similis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
PSZMP-OCC-010422NSEX01V1049-193104-PARACALANUS-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
PSZMP-OCC-010422NSEX01V1049-193095-PARACALANUS-COPEPODITES-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
PSZMP-OCC-010422NSEX01V1049-193125-PSEUDOCALANUS-ADULT-M,PSZMP-SMP-010422NSEX01V1049,male,adult,Pseudocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010422NSEX01V1049-193094-PSEUDOCALANUS-COPEPODITES-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites,Pseudocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010422NSEX01V1049-193107-PSEUDOCALANUS_MOULTONI-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Pseudocalanus moultoni,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010422NSEX01V1049-193093-PSEUDOCALANUS_NEWMANI-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Pseudocalanus newmani,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010422NSEX01V1049-193120-SCOLECITHRICELLA_MINOR-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Scolecithricella minor,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella
PSZMP-OCC-010422NSEX01V1049-193119-TORTANUS-EGGS-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,eggs,Tortanus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus
PSZMP-OCC-010422NSEX01V1049-193105-TORTANUS_DISCAUDATUS-ADULT-F,PSZMP-SMP-010422NSEX01V1049,female,adult,Tortanus discaudatus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus
PSZMP-OCC-010422NSEX01V1049-193102-TORTANUS_DISCAUDATUS-ADULT-M,PSZMP-SMP-010422NSEX01V1049,male,adult,Tortanus discaudatus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus
PSZMP-OCC-010422NSEX01V1049-193106-TORTANUS_DISCAUDATUS-COPEPODITES-I,PSZMP-SMP-010422NSEX01V1049,indeterminate,copepodites,Tortanus discaudatus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus
PSZMP-OCC-010922Cow3V21152-198378-ACARTIA_LONGIREMIS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Acartia longiremis,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
PSZMP-OCC-010922Cow3V21152-198389-ACARTIA_LONGIREMIS-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Acartia longiremis,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
PSZMP-OCC-010922Cow3V21152-198397-AETIDEUS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010922Cow3V21152-198392-AETIDEUS-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010922Cow3V21152-198398-CALANUS_MARSHALLAE-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Calanus marshallae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010922Cow3V21152-198405-CALANUS_MARSHALLAE-ADULT-M,PSZMP-SMP-010922Cow3V21152,male,adult,Calanus marshallae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010922Cow3V21152-198403-CALANUS_MARSHALLAE-COPEPODITES_C5-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites C5,Calanus marshallae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010922Cow3V21152-198388-CALANUS_PACIFICUS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010922Cow3V21152-198401-CALANUS_PACIFICUS-COPEPODITES_C5-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites C5,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010922Cow3V21152-198358-CANDACIA_COLUMBIAE-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Candacia columbiae,Animalia,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia
PSZMP-OCC-010922Cow3V21152-198373-CANDACIA_COLUMBIAE-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Candacia columbiae,Animalia,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia
PSZMP-OCC-010922Cow3V21152-198381-DITRICHOCORYCAEUS_ANGLICUS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010922Cow3V21152-198377-DITRICHOCORYCAEUS_ANGLICUS-ADULT-M,PSZMP-SMP-010922Cow3V21152,male,adult,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010922Cow3V21152-198376-DITRICHOCORYCAEUS_ANGLICUS-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010922Cow3V21152-198357-EUCALANUS_BUNGII-COPEPODITES_C5-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites C5,Eucalanus bungii,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus
PSZMP-OCC-010922Cow3V21152-198384-METRIDIA_PACIFICA-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Metridia pacifica,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia
PSZMP-OCC-010922Cow3V21152-198395-METRIDIA_PACIFICA-COPEPODITES_C3-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites C3,Metridia pacifica,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia
PSZMP-OCC-010922Cow3V21152-198365-MICROCALANUS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010922Cow3V21152-198364-MICROCALANUS-ADULT-M,PSZMP-SMP-010922Cow3V21152,male,adult,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010922Cow3V21152-198372-MICROCALANUS-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010922Cow3V21152-198390-OITHONA_ATLANTICA-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Oithona atlantica,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
PSZMP-OCC-010922Cow3V21152-198382-OITHONA_ATLANTICA-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Oithona atlantica,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
PSZMP-OCC-010922Cow3V21152-198385-OITHONA_SIMILIS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Oithona similis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
PSZMP-OCC-010922Cow3V21152-198368-OITHONA_SIMILIS-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Oithona similis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
PSZMP-OCC-010922Cow3V21152-198391-PARACALANUS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
PSZMP-OCC-010922Cow3V21152-198379-PARACALANUS-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
PSZMP-OCC-010922Cow3V21152-199722-PARAEUCHAETA_ELONGATA-COPEPODITES_C3-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites C3,Paraeuchaeta elongata,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta
PSZMP-OCC-010922Cow3V21152-199723-PARAEUCHAETA_ELONGATA-COPEPODITES_C5-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites C5,Paraeuchaeta elongata,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta
PSZMP-OCC-010922Cow3V21152-198369-PSEUDOCALANUS-ADULT-M,PSZMP-SMP-010922Cow3V21152,male,adult,Pseudocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010922Cow3V21152-198363-PSEUDOCALANUS-ADULT-M,PSZMP-SMP-010922Cow3V21152,male,adult,Pseudocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010922Cow3V21152-198366-PSEUDOCALANUS-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Pseudocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010922Cow3V21152-198370-PSEUDOCALANUS_MIMUS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Pseudocalanus mimus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010922Cow3V21152-198387-PSEUDOCALANUS_MINUTUS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Pseudocalanus minutus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010922Cow3V21152-198380-PSEUDOCALANUS_MOULTONI-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Pseudocalanus moultoni,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010922Cow3V21152-198367-PSEUDOCALANUS_NEWMANI-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Pseudocalanus newmani,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
PSZMP-OCC-010922Cow3V21152-198515-SCAPHOCALANUS_ECHINATUS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Scaphocalanus echinatus,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scaphocalanus
PSZMP-OCC-010922Cow3V21152-198409-SCOLECITHRICELLA_MINOR-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Scolecithricella minor,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella
PSZMP-OCC-010922Cow3V21152-198407-SCOLECITHRICELLA_MINOR-ADULT-M,PSZMP-SMP-010922Cow3V21152,male,adult,Scolecithricella minor,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella
PSZMP-OCC-010922Cow3V21152-198408-SCOLECITHRICELLA_MINOR-COPEPODITES-I,PSZMP-SMP-010922Cow3V21152,indeterminate,copepodites,Scolecithricella minor,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella
PSZMP-OCC-010922Cow3V21152-198393-TORTANUS_DISCAUDATUS-ADULT-F,PSZMP-SMP-010922Cow3V21152,female,adult,Tortanus discaudatus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus
PSZMP-OCC-010922Cow3V21152-198402-TORTANUS_DISCAUDATUS-ADULT-M,PSZMP-SMP-010922Cow3V21152,male,adult,Tortanus discaudatus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus
PSZMP-OCC-010922Wat1V1348-198576-ACARTIA_LONGIREMIS-ADULT-F,PSZMP-SMP-010922Wat1V1348,female,adult,Acartia longiremis,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
PSZMP-OCC-010922Wat1V1348-198593-ACARTIA_LONGIREMIS-ADULT-M,PSZMP-SMP-010922Wat1V1348,male,adult,Acartia longiremis,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
PSZMP-OCC-010922Wat1V1348-198597-AETIDEUS-ADULT-F,PSZMP-SMP-010922Wat1V1348,female,adult,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010922Wat1V1348-198607-CALANUS_MARSHALLAE-ADULT-F,PSZMP-SMP-010922Wat1V1348,female,adult,Calanus marshallae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010922Wat1V1348-198612-CALANUS_MARSHALLAE-ADULT-M,PSZMP-SMP-010922Wat1V1348,male,adult,Calanus marshallae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010922Wat1V1348-198605-CALANUS_MARSHALLAE-COPEPODITES_C5-I,PSZMP-SMP-010922Wat1V1348,indeterminate,copepodites C5,Calanus marshallae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010922Wat1V1348-198598-CALANUS_PACIFICUS-COPEPODITES_C5-I,PSZMP-SMP-010922Wat1V1348,indeterminate,copepodites C5,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010922Wat1V1348-198569-CHIRIDIUS_GRACILIS-ADULT-F,PSZMP-SMP-010922Wat1V1348,female,adult,Chiridius gracilis,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Chiridius
PSZMP-OCC-010922Wat1V1348-198606-CHIRIDIUS_GRACILIS-COPEPODITES_C5-I,PSZMP-SMP-010922Wat1V1348,indeterminate,copepodites C5,Chiridius gracilis,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Chiridius
PSZMP-OCC-010922Wat1V1348-198580-DITRICHOCORYCAEUS_ANGLICUS-ADULT-M,PSZMP-SMP-010922Wat1V1348,male,adult,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010922Wat1V1348-198609-EUCALANUS_BUNGII-ADULT-M,PSZMP-SMP-010922Wat1V1348,male,adult,Eucalanus bungii,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus
